0 |  x |  x |  x |   x | x |   x |   x | x | x | x | x | 2
655000 |  1 |  2 |  1 |   1 | 1 |  36 |   1 | 0 | 0 | 0 | 0 | 0
665000 |  1 |  2 |  1 |   1 | 1 |  37 |   1 | 0 | 0 | 0 | 0 | 0
675000 |  1 |  2 |  1 |   1 | 1 |  38 |   1 | 0 | 0 | 0 | 0 | 0
685000 |  1 |  2 |  1 |   1 | 1 |  39 |   1 | 0 | 0 | 0 | 0 | 0
695000 |  1 |  2 |  1 |   1 | 1 |  40 |   1 | 0 | 0 | 0 | 0 | 0
705000 |  1 |  2 |  1 |   1 | 1 |  41 |   1 | 0 | 0 | 0 | 0 | 0
715000 |  1 |  2 |  1 |   1 | 1 |  42 |   1 | 0 | 0 | 0 | 0 | 0
725000 |  1 |  2 |  1 |   1 | 1 |  43 |   1 | 0 | 0 | 0 | 0 | 0
735000 |  1 |  2 |  1 |   1 | 1 |  44 |   1 | 0 | 0 | 0 | 0 | 0
745000 |  1 |  2 |  1 |   1 | 1 |  45 |   1 | 0 | 0 | 0 | 0 | 0
755000 |  1 |  2 |  1 |   1 | 1 |  46 |   1 | 0 | 0 | 0 | 0 | 0
765000 |  1 |  2 |  1 |   1 | 1 |  47 |   1 | 0 | 0 | 0 | 0 | 0
775000 |  1 |  2 |  1 |   1 | 1 |  48 |   1 | 0 | 0 | 0 | 0 | 0
785000 |  1 |  2 |  1 |   1 | 1 |  49 |   1 | 0 | 0 | 0 | 0 | 0
795000 |  1 |  2 |  1 |   1 | 1 |  50 |   1 | 0 | 0 | 0 | 0 | 0
805000 |  1 |  2 |  1 |   1 | 1 |  51 |   1 | 0 | 0 | 0 | 0 | 0
815000 |  1 |  2 |  1 |   1 | 1 |  52 |   1 | 0 | 0 | 0 | 0 | 0
825000 |  1 |  2 |  1 |   1 | 1 |  53 |   1 | 0 | 0 | 0 | 0 | 0
835000 |  1 |  2 |  1 |   1 | 1 |  54 |   1 | 0 | 0 | 0 | 0 | 0
845000 |  1 |  2 |  1 |   1 | 1 |  55 |   1 | 0 | 0 | 0 | 0 | 0
855000 |  1 |  2 |  1 |   1 | 1 |  56 |   1 | 0 | 0 | 0 | 0 | 0
865000 |  1 |  2 |  1 |   1 | 1 |  57 |   1 | 0 | 0 | 0 | 0 | 0
875000 |  1 |  2 |  1 |   1 | 1 |  58 |   1 | 0 | 0 | 0 | 0 | 0
885000 |  1 |  2 |  1 |   1 | 1 |  59 |   1 | 0 | 0 | 0 | 0 | 0
895000 |  1 |  2 |  1 |   1 | 1 |  60 |   1 | 0 | 0 | 0 | 0 | 0
905000 |  1 |  2 |  1 |   1 | 1 |  61 |   1 | 0 | 0 | 0 | 0 | 0
915000 |  1 |  2 |  1 |   1 | 1 |  62 |   1 | 0 | 0 | 0 | 0 | 0
925000 |  1 |  2 |  1 |   1 | 1 |  63 |   1 | 0 | 0 | 0 | 0 | 0
935000 |  1 |  2 |  1 |   1 | 1 |  64 |   1 | 0 | 0 | 0 | 0 | 0
945000 |  1 |  2 |  1 |   1 | 1 |  65 |   1 | 0 | 0 | 0 | 0 | 0
950000 |  0 |  0 |  0 |   0 | 0 |   0 |   0 | 0 | 1 | 0 | 0 | 2
960000 |  1 |  2 |  2 |  10 | 1 |  64 |  10 | 0 | 0 | 0 | 0 | 2
970000 |  1 |  2 |  1 |  10 | 1 |  54 |  10 | 1 | 0 | 0 | 0 | 2
